positive_bert,negative_bert,neutral_bert,info_exchange_zscore_chats,discrepancies_lexical_wordcount,hear_lexical_wordcount,home_lexical_wordcount,conjunction_lexical_wordcount,certainty_lexical_wordcount,inclusive_lexical_wordcount,bio_lexical_wordcount,achievement_lexical_wordcount,adverbs_lexical_wordcount,anxiety_lexical_wordcount,third_person_lexical_wordcount,negation_lexical_wordcount,swear_lexical_wordcount,death_lexical_wordcount,health_lexical_wordcount,see_lexical_wordcount,body_lexical_wordcount,family_lexical_wordcount,negative_affect_lexical_wordcount,quantifier_lexical_wordcount,positive_affect_lexical_wordcount,insight_lexical_wordcount,humans_lexical_wordcount,present_tense_lexical_wordcount,future_tense_lexical_wordcount,past_tense_lexical_wordcount,relative_lexical_wordcount,sexual_lexical_wordcount,inhibition_lexical_wordcount,sadness_lexical_wordcount,social_lexical_wordcount,indefinite_pronoun_lexical_wordcount,religion_lexical_wordcount,work_lexical_wordcount,money_lexical_wordcount,causation_lexical_wordcount,anger_lexical_wordcount,first_person_singular_lexical_wordcount,feel_lexical_wordcount,tentativeness_lexical_wordcount,exclusive_lexical_wordcount,verbs_lexical_wordcount,friends_lexical_wordcount,article_lexical_wordcount,argue_lexical_wordcount,auxiliary_verbs_lexical_wordcount,cognitive_mech_lexical_wordcount,preposition_lexical_wordcount,first_person_plural_lexical_wordcount,percept_lexical_wordcount,second_person_lexical_wordcount,positive_words_lexical_wordcount,first_person_lexical_wordcount,nltk_english_stopwords_lexical_wordcount,textblob_subjectivity,textblob_polarity,positivity_zscore_chats,positivity_zscore_conversation,please_politeness_convokit,please_start_politeness_convokit,hashedge_politeness_convokit,indirect_btw_politeness_convokit,hedges_politeness_convokit,factuality_politeness_convokit,deference_politeness_convokit,gratitude_politeness_convokit,apologizing_politeness_convokit,1st_person_pl_politeness_convokit,1st_person_politeness_convokit,1st_person_start_politeness_convokit,2nd_person_politeness_convokit,2nd_person_start_politeness_convokit,indirect_greeting_politeness_convokit,direct_question_politeness_convokit,direct_start_politeness_convokit,haspositive_politeness_convokit,hasnegative_politeness_convokit,subjunctive_politeness_convokit,indicative_politeness_convokit,Acknowledgement_receptiveness_yeomans,Affirmation_receptiveness_yeomans,Agreement_receptiveness_yeomans,Apology_receptiveness_yeomans,Ask_Agency_receptiveness_yeomans,By_The_Way_receptiveness_yeomans,Can_You_receptiveness_yeomans,Conjunction_Start_receptiveness_yeomans,Could_You_receptiveness_yeomans,Disagreement_receptiveness_yeomans,Filler_Pause_receptiveness_yeomans,First_Person_Plural_receptiveness_yeomans,First_Person_Single_receptiveness_yeomans,For_Me_receptiveness_yeomans,For_You_receptiveness_yeomans,Formal_Title_receptiveness_yeomans,Give_Agency_receptiveness_yeomans,Goodbye_receptiveness_yeomans,Gratitude_receptiveness_yeomans,Hedges_receptiveness_yeomans,Hello_receptiveness_yeomans,Impersonal_Pronoun_receptiveness_yeomans,Informal_Title_receptiveness_yeomans,Let_Me_Know_receptiveness_yeomans,Negation_receptiveness_yeomans,Negative_Emotion_receptiveness_yeomans,Please_receptiveness_yeomans,Positive_Emotion_receptiveness_yeomans,Reasoning_receptiveness_yeomans,Reassurance_receptiveness_yeomans,Second_Person_receptiveness_yeomans,Subjectivity_receptiveness_yeomans,Swearing_receptiveness_yeomans,Truth_Intensifier_receptiveness_yeomans,Bare_Command_receptiveness_yeomans,YesNo_Questions_receptiveness_yeomans,WH_Questions_receptiveness_yeomans,Adverb_Limiter_receptiveness_yeomans
0.078901812,0.061646674,0.859451473,-0.462719414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.870824284,-0.542204019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.040951297,0.497431248,0.46161747,0.69668613,0,1,0,4,1,4,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,6,0,0,0,8,4,0,3,1,1,0,0,0,0,0,6,0,2,4,5,6,9,4,1,1,1,4,31,0.5,0.08,-1.026693612,-0.683780829,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2
0.356854498,0.011259884,0.631885588,0.956960844,2,0,0,4,1,3,2,3,2,0,1,6,0,0,2,0,0,0,0,2,0,2,0,6,1,2,7,0,0,1,5,5,0,4,0,0,0,14,0,1,4,9,0,5,4,3,13,7,0,0,0,5,14,45,0.398214286,-0.025,0.270775442,0.494716134,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,11,1,0,0,0,0,0,1,0,5,0,0,5,5,0,3,0,0,0,3,0,0,0,0,0,0
0.143299893,0.059439171,0.797261,0.034168676,3,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,4,2,0,0,1,0,0,0,0,0,1,6,0,2,3,4,6,0,1,0,2,1,1,11,0.4,0.2,-0.606330238,-0.30196289,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0.611961424,0.011134164,0.376904428,0.862315493,3,0,0,8,0,2,1,2,5,0,0,0,0,0,1,0,0,0,0,2,0,0,1,6,0,0,10,0,1,0,2,4,0,3,3,2,0,9,0,6,1,6,0,3,5,4,14,8,0,0,0,3,9,37,0.601818182,0.028484848,1.318543682,1.446408727,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,2,0,4,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0
0.043273166,0.527493536,0.429233342,0.885976831,1,1,1,10,0,7,1,0,8,0,0,0,0,0,1,0,0,0,0,2,3,0,0,3,0,1,10,0,0,0,9,3,0,1,3,3,0,0,0,1,1,4,0,3,3,3,11,8,3,1,3,5,3,31,0.4,0.25,-1.017157294,-0.675118948,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0
0.084134221,0.024942266,0.8909235,0.247120715,1,0,0,3,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,1,1,5,0,6,0,1,6,0,0,0,1,1,0,0,0,0,0,9,0,1,0,7,0,0,2,2,8,2,0,0,0,0,9,18,0.7,-0.4,-0.849333878,-0.522684186,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,5,0,0,0,0,0,0
0.032695562,0.080116875,0.887187481,0.673024792,1,0,0,3,0,0,1,0,6,0,0,1,0,0,0,0,1,0,0,1,4,1,0,5,0,0,3,0,0,0,2,3,0,2,4,1,0,3,1,0,2,6,0,4,6,5,5,6,0,1,1,2,3,26,0.6,-0.15,-1.060601343,-0.714579373,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,1,0,2,1,0,1,1,0,1,0,0,0,1
0.015020686,0.61629343,0.368685842,-0.29709005,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,2,1,1,1,0,0,0,0,2,8,0,0,-1.133195112,-0.780516618,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.039787725,0.602967381,0.357244968,-0.320751388,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,1,1,0,4,0.8,0.4,-1.031472604,-0.688121608,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.07263986,0.033667263,0.893692851,-0.439058076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,-0.5,-0.896543205,-0.565564629,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.446060777,0.02514087,0.528798342,-0.249767375,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,4,0,0,0,4,2,1,0,0,0,1,0,5,0.8,0.4,0.637161046,0.827505822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
