Pair_Speaker_turn,PairID,PersonID,Turn Start,Turn End,Rms,Pitch,Pulse,ZCR,Spectral_Centroid,Spectral_Bandwidth
20240522_1325_S3WBLMW3QQXC_Both_A_20,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,365.68,371.03998,0.01586779053944223,371.89702591003174,1.0473557690438249,0.03630205739541833,3416.2828152215448,5745.10597051189
20240522_1325_S3WBLMW3QQXC_Both_B_20,20240522_1325_S3WBLMW3QQXC,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425.csv,366.61124,371.013,0.06544646912663438,704.9922024883801,1.3933538683171913,0.13756880864104115,5528.662394595962,5138.214113799021
20240522_1325_S3WBLMW3QQXC_B_B_21,20240522_1325_S3WBLMW3QQXC,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425.csv,372.98145,374.41476,0.07154274046567165,587.0658349563827,1.4736663953731344,0.11666642374067164,4801.077912432798,5120.5281139176095
20240522_1325_S3WBLMW3QQXC_A_A_22,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,379.535,384.815,0.0024132761294343437,272.4877350161774,0.5168090194141414,0.02718493529040404,2647.859053934263,4372.046391675528
20240522_1325_S3WBLMW3QQXC_B_B_23,20240522_1325_S3WBLMW3QQXC,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425.csv,385.685,398.41574,0.0469667828120603,567.4207395809945,1.2188380943626465,0.22775825743299832,7000.579805951007,5169.347267054813
20240522_1325_S3WBLMW3QQXC_Both_A_23,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,387.135,398.6625,0.0023657916121184092,256.1899295633971,0.486769719454209,0.04185893776017576,4848.530752555158,6405.438971404614
20240522_1325_S3WBLMW3QQXC_Both_B_23,20240522_1325_S3WBLMW3QQXC,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425.csv,387.20502,398.6556,0.04158364764575955,573.8131193028107,1.1875064460941287,0.24343118374301026,7298.2121477943465,5212.2797268476925
20240522_1325_S3WBLMW3QQXC_A_A_23,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,397.94342,398.42282,0.013908400886666667,323.65425177680123,1.0111985297777775,0.026291232638888887,2756.4551417927487,4990.347720513927
20240522_1325_S3WBLMW3QQXC_A_A_24,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,398.6625,401.31976,0.006368674985140562,313.790424821846,0.7169273027911647,0.03673286897590362,3941.800216793606,6143.139157181033
20240522_1325_S3WBLMW3QQXC_Both_A_24,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,399.9409,400.10068,0.006073286446666665,229.77110900878907,0.6253677653333334,0.030598958333333332,3800.7427710306274,6165.684565175443
