Pair_Speaker_turn,PairID,Speaker,Turn,Speaker_turn,Turn_Boundary,Turn Start,Turn End
20240521_1823_WBLMay1C89Q6_A_2,20240521_1823_WBLMay1C89Q6,A,2,A_2,3.1886806500000002,3.9440322,4.262742
20240521_1823_WBLMay1C89Q6_B_3,20240521_1823_WBLMay1C89Q6,B,3,B_3,4.9045541,5.1469035,5.865076
20240521_1823_WBLMay1C89Q6_A_4,20240521_1823_WBLMay1C89Q6,A,4,A_4,7.2545002499999995,9.202742,9.362097
20240521_1823_WBLMay1C89Q6_B_5,20240521_1823_WBLMay1C89Q6,B,5,B_5,11.9227415,13.844771,14.642741
20240521_1823_WBLMay1C89Q6_A_6,20240521_1823_WBLMay1C89Q6,A,6,A_6,16.4898855,15.355,19.135
20240521_1823_WBLMay1C89Q6_B_7,20240521_1823_WBLMay1C89Q6,B,7,B_7,37.862575,19.673872,60.37015
20240521_1823_WBLMay1C89Q6_A_7,20240521_1823_WBLMay1C89Q6,A,7,A_7,26.833945999999997,33.674732,33.99402
20240521_1823_WBLMay1C89Q6_A_8,20240521_1823_WBLMay1C89Q6,A,8,A_8,86.433916,63.432487,139.1931
20240521_1823_WBLMay1C89Q6_B_9,20240521_1823_WBLMay1C89Q6,B,9,B_9,114.39968350000001,141.04999,165.36688
20240521_1823_WBLMay1C89Q6_A_10,20240521_1823_WBLMay1C89Q6,A,10,A_10,154.68546500000002,165.84425,168.32094
20240521_1823_WBLMay1C89Q6_B_11,20240521_1823_WBLMay1C89Q6,B,11,B_11,175.349625,168.73254,184.855
20240521_1823_WBLMay1C89Q6_A_11,20240521_1823_WBLMay1C89Q6,A,11,A_11,175.69127500000002,182.41,182.65001
20240521_1823_WBLMay1C89Q6_A_12,20240521_1823_WBLMay1C89Q6,A,12,A_12,184.61386,186.41914,186.81772
20240521_1823_WBLMay1C89Q6_B_13,20240521_1823_WBLMay1C89Q6,B,13,B_13,194.31642,187.495,202.2137
20240521_1823_WBLMay1C89Q6_A_14,20240521_1823_WBLMay1C89Q6,A,14,A_14,244.96732,203.43,302.43964
20240521_1823_WBLMay1C89Q6_B_15,20240521_1823_WBLMay1C89Q6,B,15,B_15,254.626635,304.76596,305.82327
20240521_1823_WBLMay1C89Q6_A_16,20240521_1823_WBLMay1C89Q6,A,16,A_16,329.66298,307.23633,354.56
20240521_1823_WBLMay1C89Q6_B_16,20240521_1823_WBLMay1C89Q6,B,16,B_16,330.56363,353.73114,353.89093
20240521_1823_WBLMay1C89Q6_Both_16,20240521_1823_WBLMay1C89Q6,Both,16,Both_16,354.13063,354.29044,354.53012
20240521_1823_WBLMay1C89Q6_B_17,20240521_1823_WBLMay1C89Q6,B,17,B_17,386.74482,355.32913,419.1992
20240521_1823_WBLMay1C89Q6_A_18,20240521_1823_WBLMay1C89Q6,A,18,A_18,389.33293000000003,419.57333,423.33673
20240521_1823_WBLMay1C89Q6_B_19,20240521_1823_WBLMay1C89Q6,B,19,B_19,421.66157499999997,423.59015,423.74982
20240521_1823_WBLMay1C89Q6_A_20,20240521_1823_WBLMay1C89Q6,A,20,A_20,433.0372,424.42865,442.48425
20240521_1823_WBLMay1C89Q6_Both_20,20240521_1823_WBLMay1C89Q6,Both,20,Both_20,433.43001000000004,424.62802,442.43137
20240521_1823_WBLMay1C89Q6_B_20,20240521_1823_WBLMay1C89Q6,B,20,B_20,433.01219000000003,441.23712,441.39636
20240521_1823_WBLMay1C89Q6_B_21,20240521_1823_WBLMay1C89Q6,B,21,B_21,442.07309,442.43137,442.90906
20240521_1823_WBLMay1C89Q6_A_22,20240521_1823_WBLMay1C89Q6,A,22,A_22,446.371445,443.2616,450.31152
20240521_1823_WBLMay1C89Q6_B_22,20240521_1823_WBLMay1C89Q6,B,22,B_22,446.42917,449.3579,449.59674
20240521_1823_WBLMay1C89Q6_B_23,20240521_1823_WBLMay1C89Q6,B,23,B_23,467.128565,454.86514,484.89923
20240521_1823_WBLMay1C89Q6_A_23,20240521_1823_WBLMay1C89Q6,A,23,A_23,455.41288499999996,455.46063,455.96063
20240521_1823_WBLMay1C89Q6_A_24,20240521_1823_WBLMay1C89Q6,A,24,A_24,491.111165,487.72296,526.7617
20240521_1823_WBLMay1C89Q6_B_25,20240521_1823_WBLMay1C89Q6,B,25,B_25,540.95148,526.79297,594.18
20240521_1823_WBLMay1C89Q6_A_26,20240521_1823_WBLMay1C89Q6,A,26,A_26,564.058985,595.565,601.325
20240521_1823_WBLMay1C89Q6_B_27,20240521_1823_WBLMay1C89Q6,B,27,B_27,601.30425,602.82654,607.0435
20240521_1823_WBLMay1C89Q6_A_28,20240521_1823_WBLMay1C89Q6,A,28,A_28,610.98262,607.65594,619.1387
20240521_1823_WBLMay1C89Q6_B_29,20240521_1823_WBLMay1C89Q6,B,29,B_29,630.27427,621.6546,652.8926
20240521_1823_WBLMay1C89Q6_A_30,20240521_1823_WBLMay1C89Q6,A,30,A_30,663.43457,653.4295,705.21454
20240521_1823_WBLMay1C89Q6_B_31,20240521_1823_WBLMay1C89Q6,B,31,B_31,700.614685,706.81665,747.79987
20240521_1823_WBLMay1C89Q6_A_32,20240521_1823_WBLMay1C89Q6,A,32,A_32,733.91809,748.2453,761.01953
20240521_1823_WBLMay1C89Q6_B_33,20240521_1823_WBLMay1C89Q6,B,33,B_33,767.12195,763.5901,785.9986
20240521_1823_WBLMay1C89Q6_A_34,20240521_1823_WBLMay1C89Q6,A,34,A_34,813.9483,786.9578,864.3065
20240521_1823_WBLMay1C89Q6_B_35,20240521_1823_WBLMay1C89Q6,B,35,B_35,851.5092500000001,867.3793,916.0607
20240521_1823_WBLMay1C89Q6_A_36,20240521_1823_WBLMay1C89Q6,A,36,A_36,912.29112,916.4638,957.20294
20240521_1823_WBLMay1C89Q6_B_36,20240521_1823_WBLMay1C89Q6,B,36,B_36,935.5422,954.4615,954.6206
20240521_1823_WBLMay1C89Q6_B_37,20240521_1823_WBLMay1C89Q6,B,37,B_37,973.6157000000001,957.58014,992.7699
20240521_1823_WBLMay1C89Q6_Both_37,20240521_1823_WBLMay1C89Q6,Both,37,Both_37,975.00824,992.3567,992.43634
20240521_1823_WBLMay1C89Q6_A_38,20240521_1823_WBLMay1C89Q6,A,38,A_38,994.5979,992.43634,996.8391
20240521_1823_WBLMay1C89Q6_B_39,20240521_1823_WBLMay1C89Q6,B,39,B_39,997.60112,998.12933,1002.7659
20240521_1823_WBLMay1C89Q6_A_40,20240521_1823_WBLMay1C89Q6,A,40,A_40,1004.678345,1004.2523,1011.22736
20240521_1823_WBLMay1C89Q6_Both_40,20240521_1823_WBLMay1C89Q6,Both,40,Both_40,1005.85105,1006.44324,1007.4498
20240521_1823_WBLMay1C89Q6_B_41,20240521_1823_WBLMay1C89Q6,B,41,B_41,1009.24722,1011.6525,1012.0512
20240521_1823_WBLMay1C89Q6_A_42,20240521_1823_WBLMay1C89Q6,A,42,A_42,1012.0292850000001,1012.0863,1012.40607
20240521_1823_WBLMay1C89Q6_Both_42,20240521_1823_WBLMay1C89Q6,Both,42,Both_42,1012.2681,1012.2107,1012.4499
20240521_1823_WBLMay1C89Q6_B_43,20240521_1823_WBLMay1C89Q6,B,43,B_43,1016.5563500000001,1012.4499,1020.902
20240521_1823_WBLMay1C89Q6_A_44,20240521_1823_WBLMay1C89Q6,A,44,A_44,1017.232,1021.45447,1022.0141
20240521_1823_WBLMay1C89Q6_B_45,20240521_1823_WBLMay1C89Q6,B,45,B_45,1028.689835,1022.1778,1035.9252
20240521_1823_WBLMay1C89Q6_A_46,20240521_1823_WBLMay1C89Q6,A,46,A_46,1034.18185,1040.3496,1046.1859
20240521_1823_WBLMay1C89Q6_B_47,20240521_1823_WBLMay1C89Q6,B,47,B_47,1069.3503,1049.4216,1098.351
20240521_1823_WBLMay1C89Q6_A_47,20240521_1823_WBLMay1C89Q6,A,47,A_47,1073.7934,1098.0055,1098.1652
20240521_1823_WBLMay1C89Q6_A_48,20240521_1823_WBLMay1C89Q6,A,48,A_48,1098.8832499999999,1098.4045,1099.761
20240521_1823_WBLMay1C89Q6_B_49,20240521_1823_WBLMay1C89Q6,B,49,B_49,1101.2582000000002,1100.0426,1104.1119
20240521_1823_WBLMay1C89Q6_Both_49,20240521_1823_WBLMay1C89Q6,Both,49,Both_49,1101.4496,1102.2345,1102.8566
20240521_1823_WBLMay1C89Q6_A_50,20240521_1823_WBLMay1C89Q6,A,50,A_50,1162.62475,1104.7877,1223.015
